,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,Species,Family,Order
0,1,Spectrogram 1,1,0.0,0.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_024508464_06632_1.wav,cswa,warbler,passerine
1,2,Spectrogram 1,1,0.5,1.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_026204639_03000_1.wav,swth,thrush,passerine
2,3,Spectrogram 1,1,1.0,1.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_028979399_06632_1.wav,,,passerine
3,4,Spectrogram 1,1,1.5,2.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_030834095_06790_1.wav,,warbler,passerine
4,5,Spectrogram 1,1,2.0,2.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_031184808_06947_1.wav,,,passerine
5,6,Spectrogram 1,1,2.5,3.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_031930872_06237_1.wav,chsp,sparrow,passerine
6,7,Spectrogram 1,1,3.0,3.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_040083408_06632_1.wav,bbwa,warbler,passerine
7,8,Spectrogram 1,1,3.5,4.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_040234800_06237_1.wav,,warbler,passerine
8,9,Spectrogram 1,1,4.0,4.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_044216808_03000_1.wav,,thrush,passerine
9,10,Spectrogram 1,1,4.5,5.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_049340208_02763_1.wav,rbgr,cardinal,passerine
10,11,Spectrogram 1,1,5.0,5.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_052120728_06237_1.wav,cswa,warbler,passerine
11,12,Spectrogram 1,1,5.5,6.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_052269960_07105_1.wav,cswa,warbler,passerine
12,13,Spectrogram 1,1,6.0,6.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_052312151_06632_1.wav,,,passerine
13,14,Spectrogram 1,1,6.5,7.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_052374504_06316_1.wav,,,passerine
